Antibiotic,Antibiotic subclass,A. xylosoxidans jini,A. xylosoxidans ayb,A. xylosoxidans suz,A. insolitus neet,A. insolitus aura,A. insolitus cram,A. insolitus vya
Piperacillin/tazobactam,Beta-lactam,S,S,S,R,R,S,S
Ticarcillin/ clavulanate,Beta-lactam,S,S,S,R,R,R,R
Ceftazidime,Cephalosporins,S,I,S,R,I,I,R
Ceftriaxone,Beta-lactam,R,R,R,R,R,R,R
Cefepime,Beta-lactam,R,R,R,R,R,R,R
Meropenem,Carbapenems,S,S,S,R,R,R,R
Amikacin,AMINOGLYCOSIDE,R,R,R,S,R,R,R
Gentamicin,AMINOGLYCOSIDE,R,R,I,S,R,R,R
Tobramycin,AMINOGLYCOSIDE,R,R,S,R,R,R,R
Ciprofloxacin,FLUROQUINOLONE,R,R,R,R,R,R,R
Trimethoprim/sulfamethoxazole,Anti-folate,S,S,R,R,R,R,R
Tetracycline,TETRACYCLINE,R,R,R,R,R,R,R